time,temperature_2m,wind_speed_10m,hour,price
2025-01-19 04:00:00,-2.9,10.1,4,120.0
2025-01-19 05:00:00,-2.8,9.0,5,121.57
2025-01-19 06:00:00,-2.7,8.3,6,123.33
2025-01-19 07:00:00,-2.7,8.0,7,123.6
2025-01-19 08:00:00,-2.4,9.4,8,125.16
2025-01-19 09:00:00,-1.3,10.1,9,125.19
2025-01-19 10:00:00,0.4,9.9,10,121.56
2025-01-19 11:00:00,1.4,8.3,11,112.25
2025-01-19 12:00:00,2.6,7.4,12,107.51
2025-01-19 13:00:00,1.9,8.3,13,116.81
2025-01-19 14:00:00,2.3,8.7,14,126.29
2025-01-19 15:00:00,1.5,8.1,15,140.15
2025-01-19 16:00:00,0.5,9.6,16,149.67
2025-01-19 17:00:00,0.2,10.4,17,159.04
2025-01-19 18:00:00,-0.2,10.1,18,156.6
2025-01-19 19:00:00,-0.5,9.5,19,149.06
2025-01-19 20:00:00,-0.6,9.0,20,139.26
2025-01-19 21:00:00,-0.7,7.5,21,130.99
2025-01-19 22:00:00,-0.9,7.2,22,122.94
2025-01-19 23:00:00,-1.0,7.6,23,122.27
2025-01-20 00:00:00,-1.1,8.0,0,119.44
2025-01-20 01:00:00,-1.3,5.7,1,116.56
2025-01-20 02:00:00,-1.6,4.7,2,114.41
2025-01-20 03:00:00,-2.0,4.2,3,115.45
2025-01-20 04:00:00,-2.6,3.1,4,127.54
2025-01-20 05:00:00,-2.8,2.8,5,161.71
2025-01-20 06:00:00,-3.0,1.9,6,276.48
2025-01-20 07:00:00,-3.1,2.5,7,431.99
2025-01-20 08:00:00,-3.0,4.8,8,291.7
2025-01-20 09:00:00,-2.6,5.5,9,236.29
2025-01-20 10:00:00,-2.0,8.0,10,187.48
2025-01-20 11:00:00,-1.3,8.2,11,176.0
2025-01-20 12:00:00,-0.7,9.4,12,171.39
2025-01-20 13:00:00,-1.8,9.1,13,191.85
2025-01-20 14:00:00,-1.7,11.0,14,277.17
2025-01-20 15:00:00,-1.9,9.1,15,402.12
2025-01-20 16:00:00,-2.1,8.5,16,583.4
2025-01-20 17:00:00,-2.3,11.0,17,473.28
2025-01-20 18:00:00,-2.3,11.4,18,295.57
2025-01-20 19:00:00,-1.9,8.9,19,220.0
2025-01-20 20:00:00,-1.6,8.3,20,170.0
2025-01-20 21:00:00,-1.3,8.6,21,152.51
2025-01-20 22:00:00,-1.1,10.3,22,137.98
2025-01-20 23:00:00,-0.9,9.9,23,127.52
2025-01-21 00:00:00,-0.8,9.3,0,121.65
2025-01-21 01:00:00,-0.8,8.8,1,116.67
2025-01-21 02:00:00,-0.8,8.9,2,113.86
2025-01-21 03:00:00,-0.8,9.0,3,113.54
2025-01-21 04:00:00,-0.7,8.9,4,122.34
2025-01-21 05:00:00,-0.9,9.2,5,142.2
2025-01-21 06:00:00,-1.1,9.2,6,190.06
2025-01-21 07:00:00,-1.6,8.8,7,248.32
2025-01-21 08:00:00,-2.0,7.1,8,211.68
2025-01-21 09:00:00,-1.3,5.6,9,198.05
2025-01-21 10:00:00,-0.3,5.2,10,161.5
2025-01-21 11:00:00,0.9,6.5,11,147.44
2025-01-21 12:00:00,1.7,7.0,12,142.83
2025-01-21 13:00:00,1.2,8.8,13,150.05
2025-01-21 14:00:00,0.8,9.0,14,173.43
2025-01-21 15:00:00,0.3,8.3,15,212.13
2025-01-21 16:00:00,-0.1,6.6,16,301.15
2025-01-21 17:00:00,-0.2,6.1,17,251.93
2025-01-21 18:00:00,-0.2,6.5,18,202.68
2025-01-21 19:00:00,-0.2,6.3,19,174.84
2025-01-21 20:00:00,-0.1,6.6,20,155.19
2025-01-21 21:00:00,0.1,5.8,21,138.6
2025-01-21 22:00:00,0.0,5.0,22,125.29
2025-01-21 23:00:00,-0.1,5.4,23,128.0
2025-01-22 00:00:00,-0.4,6.0,0,125.06
2025-01-22 01:00:00,-1.9,8.7,1,122.22
